Question,Predicted template,Is question aligned with template?,Is question plausible?,Are spatio-temporal references correctly and consistent?,Observations
¿Cuál es el precio promedio por metro cuadrado de casas en Mar del Plata durante el último año? ,T1,Yes,Yes,Yes,
¿Cuánto costaba en promedio un departamento en Bahía Blanca hace tres meses? ,T1,Yes,Yes,Yes,
¿Cuánto costó en promedio por m² una casa cerca del centro de Bahía Blanca en el último trimestre de 2022?,T1,Yes,Yes,Yes,
¿Cuál fue el precio promedio de venta en barrios residenciales de La Plata durante el año 2021?,T1,No,Yes,Yes,"Requeriría que el LLM interprete hacer una unión en donde se pondría un poligono de barrio residencial en cada query, que es algo que el template no plantea que puede hacer"
¿Qué precio medio por metro cuadrado tuvieron las propiedades publicadas en Mar del Plata en verano de 2023?,T1,Yes,Yes,Yes,
¿Cuál fue el valor promedio total de terrenos en venta en el Partido de General Pueyrredón durante 2022?,T1,Yes,Yes,SI,
"¿Cuánto costó por m², en promedio, un departamento cercano a la Universidad Nacional del Sur en 2023?",T1,Yes,Yes,Yes,
¿Cuál fue el precio promedio de inmuebles en las afueras de Pergamino durante el primer semestre de 2024?,T1,Yes,Yes,Yes,Sería con el within con un poligono especial
¿Qué precio medio por m² se registró en propiedades cerca del río en San Fernando en 2023?,T1,Yes,Yes,Yes,
¿Cuánto fue el precio promedio de venta en zona céntrica de Lomas de Zamora entre julio y diciembre de 2022?,T1,Yes,Yes,Yes,
¿Cómo se comparan los precios por metro cuadrado en Bahía Blanca y Necochea durante el año 2023?,T2,No,No,Yes,"No sé si tiene sentido preguntar cómo se comparan, eso referiría más a las características usadas para la comparación"
"¿Qué ciudad tuvo el precio promedio más alto de inmuebles en enero de 2024: Tandil, Azul o Olavarría?",T2,Yes,Yes,Yes,
¿Cuál fue el valor promedio por m² en zona norte del Gran Buenos Aires comparado con zona oeste durante 2022?,T2,Yes,Yes,Yes,
¿Qué localidad registró el precio promedio total más bajo en el segundo trimestre de 2023?,T2,Yes,Yes,Yes,
¿En qué ciudad de la Provincia de Buenos Aires fue más caro comprar un departamento en 2024?,T2,Yes,Yes,Yes,
¿Cómo varían los precios por metro cuadrado entre barrios del partido de Tigre durante el año pasado?,T2,Yes,Yes,Yes,
¿Qué municipio del conurbano sur tuvo el mayor precio total promedio en 2023?,T2,Yes,No,Yes,"Eso no es algo que se pregunta la gente. La gente preguntaría ""cuál fue el municipio del conurbano más caro en 2023?"
¿Cuál fue el promedio por m² en Vicente López comparado con San Fernando durante el primer semestre de 2022?,T2,Yes,Yes,Yes,
¿Qué localidad costera tuvo precios más altos por m² en enero de 2023: Pinamar o Villa Gesell?,T2,Yes,Yes,Yes,
"¿Cuál es la ciudad con mayor precio promedio por metro cuadrado de propiedades: Pinamar, Mar de las Pampas o Cariló en la última temporada de verano?  ",T2,Yes,Yes,Yes,
¿Cómo evolucionó el precio por metro cuadrado en Mar del Plata entre enero y diciembre de 2023?,T3,Yes,Yes,Yes,
¿Qué tendencia tuvo el precio promedio total de propiedades en La Plata durante 2022?,T3,Yes,No,Yes,"La gente no diría ""precio promedio total"", diría precio"
¿Cuál fue la evolución mensual del precio por m² en propiedades cerca del Parque Pereyra Iraola en 2024?,T3,Yes,Yes,Yes,
¿Cómo cambiaron los precios promedio de venta en Bahía Blanca mes a mes en 2023?,T3,Yes,Yes,Yes,
¿Cuál fue la evolución del precio por m² en zona céntrica de Quilmes durante el primer semestre de 2022?,T3,Yes,Yes,Yes,
¿Subió o bajó el precio medio de casas en Vicente López durante el último trimestre?,T3,Yes,Yes,Yes,
¿Cómo evolucionaron los precios por metro cuadrado en viviendas ubicadas en Tigre en los últimos 12 meses?,T3,Yes,Yes,Yes,
¿Qué cambios se registraron en el precio promedio de inmuebles en Olavarría durante todo 2023?,T3,Yes,Yes,Yes,
¿Cómo se comportó el precio promedio por m² en inmuebles cercanos a la costa de Necochea en 2022?,T3,Yes,Yes,Yes,
¿Cuál fue la evolución mensual del precio total en propiedades rurales de General Villegas durante 2023?,T3,No,Yes,Yes,No se puede saber cuáles son las propiedades rurales 
¿Cómo varió la cantidad de publicaciones mensuales en Mar del Plata durante el año 2023?,T4,Yes,No,Yes,
¿Aumentó la oferta de terrenos en Necochea luego de las vacaciones de invierno?  ,T4,Yes,Yes,Yes,
¿Qué tendencia mensual tuvo la cantidad de anuncios en zona céntrica de La Plata entre enero y junio de 2024?,T4,Yes,No,Yes,"La gente no diría ""tendencia de la cantidad de anuncios"""
¿Cómo cambió el volumen de publicaciones de propiedades rurales en el noroeste bonaerense en 2023?,T4,No,No,Yes,"No se puede saber cuáles son las propiedades rurales. La gente no diría ""cómo cambió el volumen"""
¿Cuál fue la evolución de la oferta de viviendas en Pinamar durante la temporada de verano 2022-2023?,T4,Yes,Yes,Yes,
¿Qué cambios hubo en el stock de publicaciones en barrios de Tigre en 2024?,T4,Yes,Yes,Yes,
¿Cómo varió la cantidad de inmuebles en venta en el municipio de Florencio Varela durante 2022?,T4,Yes,Yes,Yes,
¿Qué evolución mensual tuvo el número de publicaciones de casas en Tandil en el primer trimestre de 2023?,T4,Yes,No,Yes,
¿Cómo fue la variación del stock de propiedades en la costa atlántica bonaerense en 2024?,T4,Yes,Yes,Yes,
¿Cuál fue la evolución de las publicaciones en barrios residenciales de San Isidro durante 2023?,T4,No,Yes,Yes,No se sabría cuáles son los barrios residenciales
